"state","statename","place","placename"
"01","Alabama","00100","Abanda CDP"
"01","Alabama","00124","Abbeville city"
"01","Alabama","00460","Adamsville city"
"01","Alabama","00484","Addison town"
"01","Alabama","00676","Akron town"
"01","Alabama","00820","Alabaster city"
"01","Alabama","00988","Albertville city"
"01","Alabama","01132","Alexander City city"
"01","Alabama","01180","Alexandria CDP"
"01","Alabama","01228","Aliceville city"
"01","Alabama","01396","Allgood town"
"01","Alabama","01660","Altoona town"
"01","Alabama","01708","Andalusia city"
"01","Alabama","01756","Anderson town"
"01","Alabama","01852","Anniston city"
"01","Alabama","02116","Arab city"
"01","Alabama","02260","Ardmore town"
"01","Alabama","02320","Argo town"
"01","Alabama","02428","Ariton town"
"01","Alabama","02500","Arley town"
"01","Alabama","02836","Ashford town"
"01","Alabama","02860","Ashland town"
"01","Alabama","02908","Ashville city"
"01","Alabama","02956","Athens city"
"01","Alabama","03004","Atmore city"
"01","Alabama","03028","Attalla city"
"01","Alabama","03076","Auburn city"
"01","Alabama","03220","Autaugaville town"
"01","Alabama","03364","Avon town"
"01","Alabama","03508","Axis CDP"
"01","Alabama","03556","Babbie town"
"01","Alabama","03676","Baileyton town"
"01","Alabama","03724","Bakerhill town"
"01","Alabama","03820","Ballplay CDP"
"01","Alabama","03940","Banks town"
"01","Alabama","04660","Bay Minette city"
"01","Alabama","04684","Bayou La Batre city"
"01","Alabama","04852","Bear Creek town"
"01","Alabama","04900","Beatrice town"
"01","Alabama","04948","Beaverton town"
"01","Alabama","05140","Belgreen CDP"
"01","Alabama","05164","Belk town"
"01","Alabama","05188","Bellamy CDP"
"01","Alabama","05212","Belle Fontaine CDP"
"01","Alabama","05692","Benton town"
"01","Alabama","05932","Berry town"
"01","Alabama","05980","Bessemer city"
"01","Alabama","06460","Billingsley town"
"01","Alabama","07000","Birmingham city"
"01","Alabama","07120","Black town"
"01","Alabama","07456","Blountsville town"
"01","Alabama","07588","Blue Ridge CDP"
"01","Alabama","07672","Blue Springs town"
"01","Alabama","07912","Boaz city"
"01","Alabama","08104","Boligee town"
"01","Alabama","08248","Bon Air town"
"01","Alabama","08680","Boykin CDP"
"01","Alabama","09016","Brantley town"
"01","Alabama","09064","Brantleyville CDP"
"01","Alabama","09136","Brent city"
"01","Alabama","09208","Brewton city"
"01","Alabama","09328","Bridgeport city"
"01","Alabama","09400","Brighton city"
"01","Alabama","09424","Brilliant town"
"01","Alabama","09457","Bristow Cove CDP"
"01","Alabama","09500","Brook Highland CDP"
"01","Alabama","09736","Brookside town"
"01","Alabama","09808","Brookwood town"
"01","Alabama","09880","Broomtown CDP"
"01","Alabama","10240","Brundidge city"
"01","Alabama","10456","Bucks CDP"
"01","Alabama","11032","Butler town"
"01","Alabama","11416","Calera city"
"01","Alabama","11488","Calvert CDP"
"01","Alabama","11512","Camden city"
"01","Alabama","11680","Camp Hill town"
"01","Alabama","12016","Carbon Hill city"
"01","Alabama","12040","Cardiff town"
"01","Alabama","12070","Carlisle-Rockledge CDP"
"01","Alabama","12112","Carlton CDP"
"01","Alabama","12160","Carolina town"
"01","Alabama","12304","Carrollton town"
"01","Alabama","12496","Castleberry town"
"01","Alabama","12544","Catherine CDP"
"01","Alabama","12760","Cedar Bluff town"
"01","Alabama","13264","Center Point city"
"01","Alabama","13648","Centre city"
"01","Alabama","13672","Centreville city"
"01","Alabama","14008","Chatom town"
"01","Alabama","14104","Chelsea city"
"01","Alabama","14152","Cherokee town"
"01","Alabama","14392","Chickasaw city"
"01","Alabama","14464","Childersburg city"
"01","Alabama","14728","Choccolocco CDP"
"01","Alabama","14968","Chunchula CDP"
"01","Alabama","15064","Citronelle city"
"01","Alabama","15136","Clanton city"
"01","Alabama","15256","Clay city"
"01","Alabama","15304","Clayhatchee town"
"01","Alabama","15376","Clayton town"
"01","Alabama","15472","Cleveland town"
"01","Alabama","15640","Clio city"
"01","Alabama","16000","Coaling town"
"01","Alabama","16080","Coats Bend CDP"
"01","Alabama","16240","Coffee Springs town"
"01","Alabama","16264","Coffeeville town"
"01","Alabama","16312","Coker town"
"01","Alabama","16600","Collinsville town"
"01","Alabama","16684","Colony town"
"01","Alabama","16744","Columbia town"
"01","Alabama","16768","Columbiana city"
"01","Alabama","16936","Concord CDP"
"01","Alabama","17176","Coosada town"
"01","Alabama","17368","Cordova city"
"01","Alabama","17824","Cottonwood town"
"01","Alabama","17968","County Line town"
"01","Alabama","18040","Courtland town"
"01","Alabama","18088","Cowarts town"
"01","Alabama","18304","Creola city"
"01","Alabama","18856","Crossville town"
"01","Alabama","18952","Cuba town"
"01","Alabama","18976","Cullman city"
"01","Alabama","19024","Cullomburg CDP"
"01","Alabama","19216","Cusseta town"
"01","Alabama","19336","Dadeville city"
"01","Alabama","19360","Daleville city"
"01","Alabama","19648","Daphne city"
"01","Alabama","19744","Dauphin Island town"
"01","Alabama","19816","Daviston town"
"01","Alabama","19912","Dayton town"
"01","Alabama","20008","Deatsville town"
"01","Alabama","20104","Decatur city"
"01","Alabama","20152","Deer Park CDP"
"01","Alabama","20272","Delta CDP"
"01","Alabama","20296","Demopolis city"
"01","Alabama","20392","Detroit town"
"01","Alabama","20955","Dodge City town"
"01","Alabama","21136","Dora city"
"01","Alabama","21184","Dothan city"
"01","Alabama","21280","Double Springs town"
"01","Alabama","21328","Douglas town"
"01","Alabama","21448","Dozier town"
"01","Alabama","21890","Dunnavant CDP"
"01","Alabama","21952","Dutton town"
"01","Alabama","22216","East Brewton city"
"01","Alabama","22504","East Point CDP"
"01","Alabama","22816","Eclectic town"
"01","Alabama","23032","Edgewater CDP"
"01","Alabama","23176","Edwardsville town"
"01","Alabama","23224","Egypt CDP"
"01","Alabama","23296","Elba city"
"01","Alabama","23320","Elberta town"
"01","Alabama","23344","Eldridge town"
"01","Alabama","23488","Elkmont town"
"01","Alabama","23656","Elmore town"
"01","Alabama","23872","Emelle town"
"01","Alabama","23880","Emerald Mountain CDP"
"01","Alabama","24184","Enterprise city"
"01","Alabama","24256","Epes town"
"01","Alabama","24472","Ethelsville town"
"01","Alabama","24568","Eufaula city"
"01","Alabama","24616","Eunola CDP"
"01","Alabama","24664","Eutaw town"
"01","Alabama","24688","Eva town"
"01","Alabama","24808","Evergreen city"
"01","Alabama","24880","Excel town"
"01","Alabama","25120","Fairfield city"
"01","Alabama","25216","Fairford CDP"
"01","Alabama","25240","Fairhope city"
"01","Alabama","25384","Fairview town"
"01","Alabama","25648","Falkville town"
"01","Alabama","25816","Faunsdale town"
"01","Alabama","25840","Fayette city"
"01","Alabama","25864","Fayetteville CDP"
"01","Alabama","26152","Fitzpatrick CDP"
"01","Alabama","26200","Five Points town"
"01","Alabama","26824","Flomaton town"
"01","Alabama","26848","Florala town"
"01","Alabama","26896","Florence city"
"01","Alabama","26992","Foley city"
"01","Alabama","27088","Forestdale CDP"
"01","Alabama","27376","Forkland town"
"01","Alabama","27520","Fort Deposit town"
"01","Alabama","27616","Fort Payne city"
"01","Alabama","27640","Fort Rucker CDP"
"01","Alabama","28024","Franklin town"
"01","Alabama","28120","Fredonia CDP"
"01","Alabama","28312","Frisco City town"
"01","Alabama","28408","Fruitdale CDP"
"01","Alabama","28432","Fruithurst town"
"01","Alabama","28504","Fulton town"
"01","Alabama","28552","Fultondale city"
"01","Alabama","28672","Fyffe town"
"01","Alabama","28696","Gadsden city"
"01","Alabama","28768","Gainesville town"
"01","Alabama","28816","Gallant CDP"
"01","Alabama","28936","Gantt town"
"01","Alabama","29032","Garden City town"
"01","Alabama","29056","Gardendale city"
"01","Alabama","29296","Gaylesville town"
"01","Alabama","29392","Geiger town"
"01","Alabama","29464","Geneva city"
"01","Alabama","29560","Georgiana town"
"01","Alabama","29608","Geraldine town"
"01","Alabama","29704","Gilbertown town"
"01","Alabama","29944","Glen Allen town"
"01","Alabama","29992","Glencoe city"
"01","Alabama","30160","Glenwood town"
"01","Alabama","30448","Goldville town"
"01","Alabama","30496","Good Hope town"
"01","Alabama","30640","Goodwater town"
"01","Alabama","30736","Gordo town"
"01","Alabama","30760","Gordon town"
"01","Alabama","30808","Gordonville town"
"01","Alabama","30880","Goshen town"
"01","Alabama","31000","Graham CDP"
"01","Alabama","31024","Grand Bay CDP"
"01","Alabama","31096","Grant town"
"01","Alabama","31348","Grayson Valley CDP"
"01","Alabama","31384","Graysville city"
"01","Alabama","31720","Greensboro city"
"01","Alabama","31912","Greenville city"
"01","Alabama","32056","Grimes town"
"01","Alabama","32080","Grove Hill town"
"01","Alabama","32224","Guin city"
"01","Alabama","32248","Gulfcrest CDP"
"01","Alabama","32272","Gulf Shores city"
"01","Alabama","32416","Guntersville city"
"01","Alabama","32440","Gurley town"
"01","Alabama","32536","Gu-Win town"
"01","Alabama","32560","Hackleburg town"
"01","Alabama","32584","Hackneyville CDP"
"01","Alabama","32656","Haleburg town"
"01","Alabama","32704","Haleyville city"
"01","Alabama","32848","Hamilton city"
"01","Alabama","32896","Hammondville town"
"01","Alabama","32968","Hanceville city"
"01","Alabama","33256","Harpersville town"
"01","Alabama","33424","Hartford city"
"01","Alabama","33448","Hartselle city"
"01","Alabama","33472","Harvest CDP"
"01","Alabama","33544","Hatton CDP"
"01","Alabama","33640","Hayden town"
"01","Alabama","33712","Hayneville town"
"01","Alabama","33808","Hazel Green CDP"
"01","Alabama","33856","Headland city"
"01","Alabama","33904","Heath town"
"01","Alabama","33976","Heflin city"
"01","Alabama","34024","Helena city"
"01","Alabama","34096","Henagar city"
"01","Alabama","34480","Highland Lake town"
"01","Alabama","34490","Highland Lakes CDP"
"01","Alabama","34816","Hillsboro town"
"01","Alabama","34984","Hissop CDP"
"01","Alabama","35130","Hobson CDP"
"01","Alabama","35152","Hobson City town"
"01","Alabama","35200","Hodges town"
"01","Alabama","35392","Hokes Bluff city"
"01","Alabama","35512","Hollins CDP"
"01","Alabama","35536","Hollis Crossroads CDP"
"01","Alabama","35560","Holly Pond town"
"01","Alabama","35632","Hollywood town"
"01","Alabama","35704","Holt CDP"
"01","Alabama","35752","Holtville CDP"
"01","Alabama","35800","Homewood city"
"01","Alabama","35896","Hoover city"
"01","Alabama","36088","Horn Hill town"
"01","Alabama","36448","Hueytown city"
"01","Alabama","36592","Huguley CDP"
"01","Alabama","37000","Huntsville city"
"01","Alabama","37096","Hurtsboro town"
"01","Alabama","37264","Hytop town"
"01","Alabama","37312","Ider town"
"01","Alabama","37465","Indian Springs Village city"
"01","Alabama","37864","Irondale city"
"01","Alabama","38032","Ivalee CDP"
"01","Alabama","38152","Jackson city"
"01","Alabama","38248","Jacksons' Gap town"
"01","Alabama","38272","Jacksonville city"
"01","Alabama","38416","Jasper city"
"01","Alabama","38608","Jemison city"
"01","Alabama","39088","Joppa CDP"
"01","Alabama","39280","Kansas town"
"01","Alabama","39472","Kellyton town"
"01","Alabama","39520","Kennedy town"
"01","Alabama","39784","Killen town"
"01","Alabama","39856","Kimberly town"
"01","Alabama","40072","Kinsey town"
"01","Alabama","40096","Kinston town"
"01","Alabama","40648","Ladonia CDP"
"01","Alabama","40672","La Fayette city"
"01","Alabama","40888","Lakeview town"
"01","Alabama","40928","Lake View town"
"01","Alabama","41296","Lanett city"
"01","Alabama","41368","Langston town"
"01","Alabama","41968","Leeds city"
"01","Alabama","42016","Leesburg town"
"01","Alabama","42160","Leighton town"
"01","Alabama","42304","Leroy CDP"
"01","Alabama","42352","Lester town"
"01","Alabama","42472","Level Plains town"
"01","Alabama","42640","Lexington town"
"01","Alabama","42808","Libertyville town"
"01","Alabama","43120","Lincoln city"
"01","Alabama","43240","Linden city"
"01","Alabama","43264","Lineville city"
"01","Alabama","43336","Lipscomb city"
"01","Alabama","43384","Lisman town"
"01","Alabama","43648","Littleville town"
"01","Alabama","43720","Livingston city"
"01","Alabama","43744","Loachapoka town"
"01","Alabama","43816","Lockhart town"
"01","Alabama","43888","Locust Fork town"
"01","Alabama","44160","Lookout Mountain CDP"
"01","Alabama","44344","Louisville town"
"01","Alabama","44536","Lowndesboro town"
"01","Alabama","44608","Loxley town"
"01","Alabama","44728","Luverne city"
"01","Alabama","44800","Lynn town"
"01","Alabama","45208","McDonald Chapel CDP"
"01","Alabama","45316","Macedonia CDP"
"01","Alabama","45472","McIntosh town"
"01","Alabama","45496","McKenzie town"
"01","Alabama","45640","McMullen town"
"01","Alabama","45784","Madison city"
"01","Alabama","45904","Madrid town"
"01","Alabama","46072","Magnolia Springs town"
"01","Alabama","46192","Malcolm CDP"
"01","Alabama","46264","Malvern town"
"01","Alabama","46504","Maplesville town"
"01","Alabama","46600","Marbury CDP"
"01","Alabama","46696","Margaret town"
"01","Alabama","46768","Marion city"
"01","Alabama","47728","Maytown town"
"01","Alabama","47740","Meadowbrook CDP"
"01","Alabama","47848","Megargel CDP"
"01","Alabama","48052","Memphis town"
"01","Alabama","48064","Mentone town"
"01","Alabama","48112","Meridianville CDP"
"01","Alabama","48376","Midfield city"
"01","Alabama","48400","Midland City town"
"01","Alabama","48424","Midway town"
"01","Alabama","48616","Mignon CDP"
"01","Alabama","48712","Millbrook city"
"01","Alabama","48784","Millerville CDP"
"01","Alabama","48808","Millport town"
"01","Alabama","48832","Millry town"
"01","Alabama","49072","Minor CDP"
"01","Alabama","50000","Mobile city"
"01","Alabama","50192","Monroeville city"
"01","Alabama","50312","Montevallo city"
"01","Alabama","51000","Montgomery city"
"01","Alabama","51096","Moody city"
"01","Alabama","51216","Moores Mill CDP"
"01","Alabama","51264","Mooresville town"
"01","Alabama","51456","Morris town"
"01","Alabama","51468","Morrison Crossroads CDP"
"01","Alabama","51520","Mosses town"
"01","Alabama","51600","Moulton city"
"01","Alabama","51648","Moundville town"
"01","Alabama","51696","Mountain Brook city"
"01","Alabama","52320","Mount Olive CDP"
"01","Alabama","52344","Mount Olive CDP"
"01","Alabama","52608","Mount Vernon town"
"01","Alabama","52680","Movico CDP"
"01","Alabama","52776","Mulga town"
"01","Alabama","52848","Munford town"
"01","Alabama","53016","Muscle Shoals city"
"01","Alabama","53112","Myrtlewood town"
"01","Alabama","53208","Nanafalia CDP"
"01","Alabama","53232","Nances Creek CDP"
"01","Alabama","53256","Napier Field town"
"01","Alabama","53376","Natural Bridge town"
"01","Alabama","53400","Nauvoo town"
"01","Alabama","53448","Nectar town"
"01","Alabama","53472","Needham town"
"01","Alabama","53784","Newbern town"
"01","Alabama","53856","New Brockton town"
"01","Alabama","54168","New Hope city"
"01","Alabama","54312","New Market CDP"
"01","Alabama","54432","New Site town"
"01","Alabama","54480","Newton town"
"01","Alabama","54582","New Union CDP"
"01","Alabama","54600","Newville town"
"01","Alabama","55044","North Courtland town"
"01","Alabama","55152","North Johns town"
"01","Alabama","55200","Northport city"
"01","Alabama","55440","Notasulga town"
"01","Alabama","55752","Oak Grove town"
"01","Alabama","55848","Oak Hill town"
"01","Alabama","55992","Oakman town"
"01","Alabama","56400","Odenville town"
"01","Alabama","56472","Ohatchee town"
"01","Alabama","57000","Oneonta city"
"01","Alabama","57024","Onycha town"
"01","Alabama","57048","Opelika city"
"01","Alabama","57120","Opp city"
"01","Alabama","57144","Orange Beach city"
"01","Alabama","57240","Orrville town"
"01","Alabama","57384","Our Town CDP"
"01","Alabama","57504","Owens Cross Roads town"
"01","Alabama","57576","Oxford city"
"01","Alabama","57648","Ozark city"
"01","Alabama","57696","Paint Rock town"
"01","Alabama","57912","Panola CDP"
"01","Alabama","58272","Parrish town"
"01","Alabama","58848","Pelham city"
"01","Alabama","58896","Pell City city"
